,Name,Type,Consistent,Bright,Evolves,Dynamic,Consistency,Brightness,Evolution,Dynamics,OscillatorWaveShape,OscillatorOct,OscillatorSemi,OscillatorDetune,FilterCutoffFrequency,FilterLFOCutoffMod,FilterEnvCutoffMod,LFOSpeed,LFOFadeIn,OscillatorWaveShape2,OscillatorOct2,OscillatorSemi2,OscillatorDetune2,AttackTime,DecayTime,SustainLevel,SustainTime,ReleaseTime,AttackTime2,DecayTime2,SustainLevel2,SustainTime2,ReleaseTime2,VibratoSpeed,VibratoAmount,KeyboardUnison,KeyboardUnisonToggle,KeyboardDetune
111,18_05_Bass_14,Bass,True,False,False,False,0.7,0.3,0.2,0.1,0,-3,0,0.3741694093,0.5556235909,0.374538064,0.4436859488,0.2460317463,0,1,-2,0,0.6258305907,0.09765061736,0.4722285271,0.0892970562,1,0.4876755178,0.09765061736,0.4722285271,0.0892970562,1,0.4876755178,0.2289663404,0.3199999928,0,true,0.2349999994
112,17_05_Pluck_03,Pluck,False,False,False,True,0.1,0.1,0.2,0.7,1,1,0,0.2619047761,0.3888888955,0.3810428679,0.5913467407,0.2367373705,0,0,2,0,0.7380475998,0,0.5454545617,0.4545454681,1,0.7013787031,0,0.5272727013,0.4909090996,1,0.7013787031,0.5244606733,0.6499999762,0,true,0.4099999964
113,17_05_808_07,808,False,False,True,True,0.2,0.3,0.8,1.0,0,-3,0,0.3015873134,0.6258038878,0.8502861261,0.6661021113,0.6666666865,0,0,-2,0,0.6979057193,0.07272727042,0.633284688,0.8588886261,1,0.7638876438,0.07278963178,0.633284688,0.8588886261,1,0.7636363506,0.4921875,0.5390625,0,true,0.375
114,17_05_Pluck_15,Pluck,True,False,False,False,0.9,0.4,0.0,0.2,1,1,0,0.3919876516,0.6336382627,0.1568646729,0.6380457878,0.5,0,0,1,0,0.6080123186,0,0.4776254296,0.1289846301,1,0.5436624289,0,0.4776254296,0.1289846301,1,0.5436624289,0.1780849397,0.25,0,true,0.1439999938
115,17_05_808_11,808,False,True,False,True,0.1,0.8,0.2,0.6,0,-3,0,0.2857142985,0.8174602985,0.3507834375,0.5813699365,0.2142857164,0,0,-2,0,0.7140872478,0.09090909362,0.5793889761,0.5565080643,1,0.6860972643,0.08589914441,0.5793889761,0.5565080643,1,0.6860972643,0.5078125,0.6484375,0,true,0.40625
116,18_05_Bass_02,Bass,False,False,False,False,0.4,0.3,0.2,0.1,0,-3,0,0.3292174935,0.5556235909,0.374538064,0.4436859488,0.2460317463,0,1,-2,0,0.6707825065,0.09765061736,0.4722285271,0.0892970562,1,0.4876755178,0.09765061736,0.4722285271,0.0892970562,1,0.4876755178,0.390625,0.4453125,0,true,0.2349999994
117,17_05_808_31,808,True,True,False,False,0.8,0.9,0.1,0.0,0,-3,0,0.3845299482,0.9143806696,0.2976469994,0.408511281,0.1183643416,0,0,-2,0,0.6154700518,0,0.3998488486,0.03968757764,1,0.3863305151,0,0.4727272689,0.5090909004,1,0.3270148933,0.2137019038,0.2899999917,0,true,0.148999989
118,17_05_Pluck_35,Pluck,True,True,True,False,0.7,1.0,1.0,0.3,1,1,0,0.3741694093,0.9992873669,1,0.6380457878,0.8255981207,0,0,2,0,0.6258305907,0,0.4915306568,0.307577759,1,0.6176874042,0,0.4915306568,0.307577759,1,0.6176874042,0.2289663404,0.3299999833,0,true,0.1550000012
119,18_05_Lead_13,Lead,True,False,False,False,0.8,0.0,0.3,0.3,1,0,0,0.3845299482,0.190476194,0.4090722799,0.4790773392,0.6825397015,0,1,0,0,0.6154700518,0.530426681,0.5053377151,0.3359375,1,0.6095587611,0.530426681,0.5053377151,0.3373434544,1,0.6095587611,0.1984375268,0.2800000012,0,true,0.1480000019
120,18_05_Lead_05,Lead,False,False,False,True,0.2,0.4,0.4,0.9,1,0,0,0.3063508272,0.6549663544,0.4600516856,0.6468360424,0.3060030341,0,1,0,0,0.6936491728,0.4915306568,0.6284059286,0.7177782655,1,0.7371788621,0.4391304553,0.5992406607,0.5968256593,1,0.7117366791,0.4833734334,0.5600000024,0,true,0.349999994
121,17_05_808_27,808,True,False,True,True,0.7,0.2,0.8,0.7,0,-3,0,0.3775255084,0.4761904776,0.8649616241,0.6380457878,0.6446324587,0,0,-2,0,0.6224744916,0,0.3998488486,0.5067195296,1,0.3272727132,0,0.4727272689,0.5090909004,1,0.3270148933,0.2289663404,0.3299999833,0,true,0.1550000012
122,17_05_Pluck_23,Pluck,True,False,True,False,0.7,0.2,0.8,0.2,1,1,0,0.3730158806,0.5079365373,0,0.6380457878,0.6746031642,0,0,2,0,0.6258305907,0,0.4910487831,0.2182816863,1,0.5925987363,0,0.4910487831,0.2182816863,1,0.5925987363,0.2594952285,0.3400000036,0,true,0.1569999903
123,18_05_Bass_18,Bass,True,False,True,False,1.0,0.4,0.2,1.0,0,-3,0,0.5,0.6549663544,0.374538064,0.7047610879,0.267878592,0,1,-2,0,0.5,0.5392264724,0.6489471197,0.9395236969,1,0.8254743814,0.5392264724,0.6489471197,0.9395236969,1,0.8254743814,0,0,0,true,0
124,04_05_808_06,808,False,True,False,True,0.1,0.7,0.1,1.0,0,-3,0,0.3107030392,0.7833142281,0,0.6380457878,0.1495069712,0,0,-2,0,0.6892969608,0,0.5637511015,0.5067195296,1,0.7638876438,0,0.5636363626,0.5090909004,1,0.7636363506,0.328125,0.4140625,0,true,0.40625
125,17_05_Pluck_19,Pluck,True,False,False,True,0.8,0.3,0.4,0.6,1,1,0,0.3809762001,0.5634920597,0.4573591948,0.71875,0.7301587462,0,0,2,0,0.6190237999,0,0.5828350186,0.5464286804,1,0.68710953,0,0.5828350186,0.5464286804,1,0.68710953,0.218790099,0.2999999821,0,true,0.1509999931
